danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,time_signature_0,time_signature_1,time_signature_2,time_signature_3,time_signature_4,time_signature_5,mode_0,mode_1,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,clusters
0.361,0.446,-6.044,0.0281,0.95,1.32e-05,0.132,0.212,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
0.755,0.8370000000000001,-2.718,0.142,0.0991,0.0,0.289,0.7140000000000001,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4
0.622,0.961,-2.616,0.0669,0.102,0.00016,0.264,0.687,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
0.632,0.638,-6.731,0.0505,0.13699999999999998,0.0,0.125,0.574,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
0.564,0.7140000000000001,-4.987,0.129,0.0549,0.0,0.155,0.33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
0.705,0.78,-6.267,0.0805,0.456,0.00152,0.115,0.457,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
0.6559999999999999,0.6920000000000001,-6.145,0.0563,0.00212,0.00305,0.128,0.693,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6
0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
0.746,0.754,-6.681,0.067,0.0152,0.0,0.0486,0.764,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
0.746,0.873,-3.803,0.12,0.0244,0.0,0.35600000000000004,0.816,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4
0.723,0.711,-5.5760000000000005,0.0378,0.0997,0.0,0.0528,0.606,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.736,0.7609999999999999,-5.449,0.0338,0.0966,0.0,0.0823,0.114,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0.394,0.858,-2.8680000000000003,0.0729,0.00359,0.0,0.102,0.56,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
0.6459999999999999,0.431,-8.517000000000001,0.0262,0.637,6.99e-06,0.113,0.292,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9
0.775,0.68,-5.507999999999999,0.0629,0.00906,0.0,0.109,0.6559999999999999,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7170000000000001,0.6920000000000001,-6.735,0.0466,0.0635,0.00049,0.0923,0.602,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
0.684,0.71,-3.614,0.0779,0.0132,0.0,0.444,0.451,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
0.421,0.7909999999999999,-4.998,0.0496,0.0117,1.4800000000000002e-05,0.146,0.499,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8
0.66,0.382,-5.919,0.0304,0.391,0.0,0.0972,0.436,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.688,0.7020000000000001,-4.792,0.0499,0.0215,0.0,0.128,0.74,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.622,0.8079999999999999,-4.7010000000000005,0.0418,0.00543,5.6299999999999986e-05,0.215,0.599,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8
0.645,0.669,-7.9460000000000015,0.0638,0.00545,0.0013800000000000002,0.0997,0.568,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
0.752,0.775,-7.289,0.0546,0.0324,0.0,0.35100000000000003,0.595,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
0.589,0.611,-5.881,0.0459,0.0151,0.0,0.0757,0.121,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.748,0.7879999999999999,-7.055,0.0334,0.0591,0.0,0.0863,0.884,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
0.54,0.7659999999999999,-5.148,0.07,0.000248,0.0,0.6409999999999999,0.17600000000000002,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0.7809999999999999,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8
0.526,0.862,-6.002999999999999,0.0905,0.0144,0.0597,0.229,0.528,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8
0.8059999999999999,0.608,-7.007999999999999,0.0659,0.0113,0.0,0.635,0.8490000000000001,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
0.628,0.593,-5.0360000000000005,0.0323,0.093,1.65e-06,0.096,0.104,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8
0.262,0.606,-6.646,0.0484,0.247,0.0,0.125,0.275,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
0.8490000000000001,0.601,-5.682,0.0319,0.42,8.88e-06,0.108,0.966,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0.672,0.748,-5.9220000000000015,0.0589,0.305,0.0,0.0811,0.964,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0.7,0.672,-6.255,0.0598,0.00189,0.0338,0.0839,0.262,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
0.6629999999999999,0.748,-5.83,0.0463,0.277,0.00318,0.312,0.925,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8
0.64,0.602,-7.902,0.0299,0.0646,0.0,0.375,0.951,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
0.607,0.76,-5.229,0.0482,0.0745,0.0,0.0595,0.805,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
0.71,0.674,-5.393,0.0352,0.0136,1.73e-05,0.0366,0.7,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8
0.878,0.821,-9.875,0.08900000000000001,0.126,0.0461,0.183,0.947,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9
0.764,0.57,-11.361,0.0348,0.45,0.362,0.0812,0.972,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
0.847,0.636,-7.016,0.0441,0.0908,3.95e-06,0.0846,0.7659999999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
0.769,0.7809999999999999,-5.472,0.0797,0.119,0.000371,0.0506,0.826,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
0.72,0.7909999999999999,-4.689,0.124,0.0384,0.0,0.157,0.7559999999999999,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8
0.652,0.604,-8.766,0.227,0.111,1.01e-05,0.0409,0.675,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
0.711,0.735,-5.026,0.0432,0.0378,0.0,0.107,0.698,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8
0.711,0.924,-3.398,0.0282,0.0156,0.0,0.114,0.912,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4
0.743,0.675,-4.267,0.0953,0.0251,0.000717,0.0685,0.59,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0.75,0.562,-8.45,0.0281,0.215,1.1e-06,0.105,0.807,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
0.5870000000000001,0.767,-5.712999999999999,0.0449,0.225,0.0,0.112,0.664,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
0.51,0.76,-6.995,0.0411,0.14800000000000002,0.0116,0.0706,0.55,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
0.799,0.687,-5.682,0.0431,0.193,0.000188,0.0307,0.965,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8
0.404,0.509,-10.731,0.0823,0.5589999999999999,0.0,0.14,0.8079999999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
0.469,0.5379999999999999,-13.559,0.0571,0.305,0.00012,0.37,0.8859999999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
0.597,0.8370000000000001,-6.518,0.375,0.00427,0.00114,0.8390000000000001,0.447,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
0.5539999999999999,0.772,-4.8210000000000015,0.0418,0.00487,6.6e-06,0.354,0.455,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.6509999999999999,0.653,-9.731,0.0545,0.365,0.000117,0.0742,0.7290000000000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
0.583,0.905,-6.1320000000000014,0.0733,0.0984,0.00019,0.0593,0.6459999999999999,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
0.688,0.6729999999999999,-8.971,0.0271,0.604,0.0,0.0906,0.575,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9
0.8909999999999999,0.7140000000000001,-6.055,0.14,0.202,0.000234,0.0521,0.818,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6
0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,0.725,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
0.53,0.938,-3.699,0.0624,0.00998,1.96e-05,0.345,0.722,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
0.621,0.885,-6.715,0.0467,0.0405,0.363,0.282,0.5579999999999999,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
0.831,0.624,-4.2330000000000005,0.133,0.00935,2.91e-06,0.0282,0.928,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
0.664,0.35100000000000003,-12.136,0.118,0.226,2.38e-06,0.106,0.816,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
0.682,0.836,-3.777,0.0425,0.0464,3.13e-06,0.0797,0.485,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4
0.675,0.597,-11.329,0.0337,0.0534,0.0,0.0986,0.828,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3
0.877,0.8540000000000001,-4.523,0.147,0.0544,5.5e-05,0.14400000000000002,0.54,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8
