,artist,album,track,track_id
5001,Donna Summer,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Bad Girls,3N36Ew5PatZxaSEIS8Nbrx
5002,Janelle Monáe,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Hum Along And Dance (Gotta Get Down),24b8gSiQEgo1XFdwM04AbX
5003,C.J. & Co.,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Devil's Gun,4soj212onKKCCClTcbWQj6
5004,Garland Jeffreys,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Wild In The Streets,0d2TneU9J2KmbKn5EXCQFU
5005,Willie Colón,The Hustler,Qué Lío,3J4krWOV6J3mE6tNYiaqn2
5006,SAYGRACE,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),"Just You, Not Now (Love Theme)",5Zs9RUmMV7H8VSowoKV6Uu
5007,Herizen Guardiola as Mylene Cruz,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Be That As It May,0AwFAssEK4e0oKKyOwmEGJ
5008,"The Get Down Brothers (Skylan Brooks, TJ Brown, Jr., Jaden Smith, Justice Smith & Shameik Moore)",The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Get Down Brothers vs. Notorious 3,2tfrhE3XUQaQlPGXGmZDDD
5009,Kamasi Washington,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Kipling Theme,5tLqCq1AZB2U9LPVHwamp7
5010,Herizen Guardiola as Mylene Cruz,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Set Me Free,2j8zYkPtdTwLSGs70qhTJn
5011,Herizen Guardiola as Mylene Cruz,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Up The Ladder,3fAAI8uoUa3dzghw6DgW0D
5012,Justice Smith as Ezekiel Figuero,The Get Down: Original Soundtrack From The Netflix Original Series (Deluxe Version),Zeke's Poem (I Am The One),1vpJXkSYB72CA18kaUShbj
5013,Max Jury,Me Before You (Original Motion Picture Soundtrack),Numb,7DM3hMeOT4yFdzzLJZiafD
5014,HOLYCHILD,Mindspeak,Happy With Me,2jukSXCni9myIF79PdgMZw
5015,Jessie Ware,Me Before You (Original Motion Picture Soundtrack),"Till The End - From ""Me Before You""",4wuKfMYt9XIDiGCIfloBRR
