,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4310,0.619,0.495,7,-6.485,0,0.0478,0.0358,0.000163,0.188,0.29,139.861,audio_features,2FRhh5nBfmukkYIty9qMVq,spotify:track:2FRhh5nBfmukkYIty9qMVq,https://api.spotify.com/v1/tracks/2FRhh5nBfmukkYIty9qMVq,https://api.spotify.com/v1/audio-analysis/2FRhh5nBfmukkYIty9qMVq,234307,4
4311,0.426,0.662,11,-6.158,1,0.0319,0.211,0.00652,0.176,0.359,78.247,audio_features,1vG6jMgSoqT3zG9tuDrL2E,spotify:track:1vG6jMgSoqT3zG9tuDrL2E,https://api.spotify.com/v1/tracks/1vG6jMgSoqT3zG9tuDrL2E,https://api.spotify.com/v1/audio-analysis/1vG6jMgSoqT3zG9tuDrL2E,222293,4
4312,0.597,0.659,9,-7.885,1,0.0359,0.0209,7.07e-05,0.285,0.379,105.054,audio_features,2jVNVa4hRklByMFyMTAd6x,spotify:track:2jVNVa4hRklByMFyMTAd6x,https://api.spotify.com/v1/tracks/2jVNVa4hRklByMFyMTAd6x,https://api.spotify.com/v1/audio-analysis/2jVNVa4hRklByMFyMTAd6x,210713,4
4313,0.874,0.592,5,-7.677,0,0.0546,0.105,0.0112,0.103,0.644,119.984,audio_features,1cPqPq5uItaAN34NIc1Nc5,spotify:track:1cPqPq5uItaAN34NIc1Nc5,https://api.spotify.com/v1/tracks/1cPqPq5uItaAN34NIc1Nc5,https://api.spotify.com/v1/audio-analysis/1cPqPq5uItaAN34NIc1Nc5,206099,4
4314,0.679,0.523,6,-9.932,0,0.104,0.383,0.00101,0.0813,0.391,94.988,audio_features,5cvlskaX870VeTKCdMXidk,spotify:track:5cvlskaX870VeTKCdMXidk,https://api.spotify.com/v1/tracks/5cvlskaX870VeTKCdMXidk,https://api.spotify.com/v1/audio-analysis/5cvlskaX870VeTKCdMXidk,200820,4
4315,0.741,0.55,6,-10.953,0,0.306,0.441,0.0,0.175,0.784,142.056,audio_features,2N803ZeVv743BS905JC0PT,spotify:track:2N803ZeVv743BS905JC0PT,https://api.spotify.com/v1/tracks/2N803ZeVv743BS905JC0PT,https://api.spotify.com/v1/audio-analysis/2N803ZeVv743BS905JC0PT,202815,4
4316,0.96,0.547,6,-6.992,0,0.0786,0.0496,0.0,0.216,0.186,121.01,audio_features,5oyUurs28XRagLa8lgm6V3,spotify:track:5oyUurs28XRagLa8lgm6V3,https://api.spotify.com/v1/tracks/5oyUurs28XRagLa8lgm6V3,https://api.spotify.com/v1/audio-analysis/5oyUurs28XRagLa8lgm6V3,223093,4
4317,0.681,0.881,4,-2.981,0,0.0448,0.0434,6.07e-05,0.11,0.425,124.031,audio_features,5gZF0bQDD2OnXcW4fUJtoR,spotify:track:5gZF0bQDD2OnXcW4fUJtoR,https://api.spotify.com/v1/tracks/5gZF0bQDD2OnXcW4fUJtoR,https://api.spotify.com/v1/audio-analysis/5gZF0bQDD2OnXcW4fUJtoR,208640,4
4318,0.698,0.909,5,-2.713,0,0.0336,0.453,0.00867,0.0966,0.439,121.987,audio_features,7jnYIHh9xq5NFavrDJzLd7,spotify:track:7jnYIHh9xq5NFavrDJzLd7,https://api.spotify.com/v1/tracks/7jnYIHh9xq5NFavrDJzLd7,https://api.spotify.com/v1/audio-analysis/7jnYIHh9xq5NFavrDJzLd7,180984,4
4319,0.513,0.413,0,-7.151,1,0.0372,0.565,3.52e-06,0.124,0.246,139.649,audio_features,6YpSiNQN8pVzJMOX2fXGHm,spotify:track:6YpSiNQN8pVzJMOX2fXGHm,https://api.spotify.com/v1/tracks/6YpSiNQN8pVzJMOX2fXGHm,https://api.spotify.com/v1/audio-analysis/6YpSiNQN8pVzJMOX2fXGHm,265479,3
